workload,model_size,batch,H,W,precision,num_inputs,num_outputs,total_input_bytes,total_output_bytes,weight_bytes,param_count,op_Add,op_Concat,op_Constant,op_Conv,op_GlobalAveragePool,op_Mul,op_Reshape,op_Sigmoid,op_Split,Avg_cpu_mem_MB,Max_cpu_mem_MB
det,s,8,320,320,int8,1,1,2457600,5644800,44626176,11156544,9,19,22,64,0,60,5,58,9,374.0,805.0
det,s,8,480,480,fp16,1,1,11059200,5644800,44626176,11156544,9,19,22,64,0,60,5,58,9,342.0,725.0
det,s,8,480,480,fp32,1,1,22118400,5644800,44626176,11156544,9,19,22,64,0,60,5,58,9,332.0,723.0
det,s,8,480,480,int8,1,1,5529600,5644800,44626176,11156544,9,19,22,64,0,60,5,58,9,342.0,744.0
det,s,8,640,640,fp16,1,1,19660800,5644800,44626176,11156544,9,19,22,64,0,60,5,58,9,390.0,802.0
det,s,8,640,640,fp32,1,1,39321600,5644800,44626176,11156544,9,19,22,64,0,60,5,58,9,344.0,724.0
det,s,8,640,640,int8,1,1,9830400,5644800,44626176,11156544,9,19,22,64,0,60,5,58,9,358.0,720.0
obb,n,1,320,320,fp16,1,1,614400,1344000,12320576,3080144,9,21,22,73,0,69,8,65,11,1295.0,2207.0
obb,n,1,320,320,fp32,1,1,1228800,1344000,12320576,3080144,9,21,22,73,0,69,8,65,11,1062.0,2105.0
obb,n,1,320,320,int8,1,1,307200,1344000,12320576,3080144,9,21,22,73,0,69,8,65,11,1080.0,2140.0
obb,n,1,480,480,fp16,1,1,1382400,1344000,12320576,3080144,9,21,22,73,0,69,8,65,11,1104.0,2119.0
obb,n,1,480,480,fp32,1,1,2764800,1344000,12320576,3080144,9,21,22,73,0,69,8,65,11,1077.0,1890.0
obb,n,1,480,480,int8,1,1,691200,1344000,12320576,3080144,9,21,22,73,0,69,8,65,11,1123.0,1975.0
obb,n,1,640,640,fp16,1,1,2457600,1344000,12320576,3080144,9,21,22,73,0,69,8,65,11,1061.0,1898.0
obb,n,1,640,640,int8,1,1,1228800,1344000,12320576,3080144,9,21,22,73,0,69,8,65,11,1085.0,1904.0
obb,n,2,320,320,fp16,1,1,1228800,1344000,12320576,3080144,9,21,22,73,0,69,8,65,11,1107.0,2144.0
obb,n,2,320,320,fp32,1,1,2457600,1344000,12320576,3080144,9,21,22,73,0,69,8,65,11,1050.0,2134.0
obb,n,2,320,320,int8,1,1,614400,1344000,12320576,3080144,9,21,22,73,0,69,8,65,11,1032.0,2073.0
obb,n,2,480,480,fp16,1,1,2764800,1344000,12320576,3080144,9,21,22,73,0,69,8,65,11,1085.0,1900.0
obb,n,2,480,480,fp32,1,1,5529600,1344000,12320576,3080144,9,21,22,73,0,69,8,65,11,1068.0,1927.0
obb,n,2,480,480,int8,1,1,1382400,1344000,12320576,3080144,9,21,22,73,0,69,8,65,11,1105.0,2016.0
obb,n,2,640,640,fp16,1,1,4915200,1344000,12320576,3080144,9,21,22,73,0,69,8,65,11,1077.0,1922.0
obb,n,2,640,640,fp32,1,1,9830400,1344000,12320576,3080144,9,21,22,73,0,69,8,65,11,1076.0,1922.0
